# calib-baseline  tag=tool  turns=744  (0 without wide-Q)
# key	n_tok	tok_hash	n_sig	wq_hash	mean_pop
bytes_unpack|unpack the hex bytes 401921fb54442d18 as a big-endian double, format '>d'	310	3e055e3264214f9a	310	a191d85473bc0c84	763.7
bytes_unpack|unpack the hex-encoded bytes 39d4a10800000000 as a signed 64-bit integer, format '<q'	404	057d2d656b2e86ee	404	e5c66f80f467aa8c	763.8
bytes_unpack|unpack the hex-encoded bytes 3ac91f7e5b2048d1 as two little-endian u32s, format '<II'	362	6336e2c9cd2d3cb8	362	4e7d0fca42086e37	764.2
bytes_unpack|unpack the hex-encoded bytes 6f12833e as a little-endian float, format '<f'	253	03804747e4f2c7a5	253	c457a404e0b03f05	767.8
bytes_unpack|unpack the hex-encoded bytes a83f5c19 as two big-endian u16s, format '>HH'	301	f283e9ead01c64fe	301	780a083c6cf84b4f	764.1
bytes_xor|mask the hex 5e6f7a8b9c0d1e2f with the one-time pad a5b4c3d2e1f00918	510	7469865b10e2fb2e	510	297305c4818b8a96	761.9
bytes_xor|what do you get when you XOR 1234567890abcdef and c73e91a45db8206f	299	784f1c3f59204966	299	33c72def83531bc0	763.3
bytes_xor|xor 7d3f9a02c815be64f0a19d3c5e82740b against 2b6ef1c40953a7d8e14c60ba39f5127e	360	2ef585c6933fe3fb	360	f30e0a3ca714b7ab	760.8
bytes_xor|xor the 32-byte hex 00112233445566778899aabbccddeeff102132435465768798a9bacbdcedfe0f and ffeeddccbbaa998877665544332211000f1e2d3c4b5a69788796a5b4c3d2e1f0	769	26cb32388ab6b811	769	a68e4ddfeb6f02e6	759.9
bytes_xor|xor the hex a1b2c3d4e5f60718293a4b5c6d7e8f90 and 0f1e2d3c4b5a69788796a5b4c3d2e1f0	387	f2f341f40a679a33	387	28bd31a632623850	761.8
bytes_xor|xor the hex blocks 3c8f1ad57e29b0c46f81d2a3905e7bc191e4072db8a6f53c1d4e8b09a7f26d3e and 5f4e3d2c1b0a998877665544332211009988776655443322110ffeeddccbbaa9	362	011f836b5643cf0b	362	ffa187a1ec9cfc08	761.1
bytes_xor|xor the hex cafebabedeadbeef0123456789abcdef and fedcba9876543210ffeeddccbbaa9988	355	020b2705bc0dbd53	355	1ca6233ddf46f403	758.7
bytes_xor|xor the keystream 1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d with the ciphertext deadbeefcafebabe0011223344556677	652	4d1bd896abb7486d	652	fe8f95629c37e942	761.1
calculator|compute the square root of 74183	137	36df7be786a02e08	137	d780959f9d6b7400	761.5
calculator|evaluate (128 + 47) * 2^7 - 913	1281	d0c92cb09e6cf858	1281	1d737e2e39886e31	763.4
calculator|how much is 918273 divided by 4657, to four decimal places	395	fd4ba02185a2bbd8	395	46f99ce5377954e7	765.3
calculator|log base 2 of 95443	312	f3e65bef207a3dae	312	4c8154052fb18bb5	764.3
calculator|what is 1234 multiplied by 5678	174	eb2c072f85f30867	174	9c5ef58d3d773d6c	767.3
calculator|what is 37% of 84193	233	1ecca011c06351e8	233	6841ae0715b657f8	764.4
calculator|what is 76234 multiplied by 88911	182	a9317a0b38da13da	182	c74e2013511002a2	766.6
calculator|what's the square root of 2750000	155	9b773e13d9de2c64	155	993f4aaafcdc2861	764.9
code_run|evaluate JavaScript that counts the vowels in 'sandbox engine'	737	0e651089d49483c6	737	dcd4f45868cfca96	762.9
code_run|evaluate this JavaScript expression that sums an array of numbers	630	30ccc2ae66b021c0	630	e25c4e089bf56710	760.6
code_run|execute a JavaScript snippet that reverses the string 'hello world'	687	1ec991b5322f31dc	687	5cb866e843c14a0b	761.4
code_run|run JS to compute the factorial of 12	449	d0264d573b3fda82	449	8db05b6273712821	763.1
code_run|run a quick JavaScript to format a Unix timestamp as an ISO date string	763	7be2cc01a9226088	763	ef67dee449433831	763.9
code_run|run some JavaScript that prints the first 10 Fibonacci numbers	1039	0a17ec74ebae81b4	1039	87434bd62d579268	764.6
code_run|use JavaScript to filter the array [3, 8, 11, 14, 5, 20, 7] down to just the even numbers	475	bb2f7c44650b8525	475	26b9c4a636103ba5	762.1
code_run|write and run JS that parses the JSON {"name":"Ada","age":36,"admin":true} and prints its keys	414	331d42ea126de42a	414	a6ad47c2ed9bf029	762.6
code_session_close|close code session sess_3f9a2c	135	dacb2ac3e9390553	135	1929355f34210306	763.2
code_session_close|discard the state and end code session js-2	366	773be07dd2d81e83	366	f495b2c57c9d9c72	763.5
code_session_close|drop code session js-4, I'm done with it	173	96a8edf69921cd82	173	0505f6134b55d960	762.7
code_session_close|end code execution session build-7	143	22b592de10b3952b	143	97ff1084e45a322c	767.9
code_session_close|kill the code session with id run-42	125	5b37fdd9b30c0eb5	125	a0c81453d82590ac	763.7
code_session_close|please close out code session sess_9d2e1a	127	9809e76e86ca22e5	127	9abc6f118cd356c6	763.6
code_session_close|shut down the code sandbox, session id abc123	153	5dfe509f1f074218	153	139cea06d6ffef9b	763.6
code_session_close|terminate the JavaScript session js-1	116	04509cd10831e38c	116	fa7fa622794995d0	767.7
code_session_exec|evaluate `JSON.stringify({ x, total })` in code session js-1	331	5e539f10672324e1	331	d7e47eb479a70c0d	763.0
code_session_exec|execute `const arr = [1, 2, 3, 4]` in code session js-1	335	1c322ddd0f8442dc	335	fa0e3e6bae635c3d	765.8
code_session_exec|execute `const total = arr.reduce((a, b) => a + b, 0)` in code session js-1	434	6b0407866341128b	434	f9205e14689cffac	762.2
code_session_exec|in code session js-3, run `arr.map(n => n * n)`	264	dc25d21f368e35df	264	0a62e01d6f658bdb	764.8
code_session_exec|run `add(x, 8)` in code session js-2	382	f617b98ac95c493d	382	dc1a32bd43223e38	761.7
code_session_exec|run `console.log(x + 1)` in code session js-1	258	fee5c9ac4a6cdb2b	258	85c36546f1f08075	765.9
code_session_exec|run `function add(a, b) { return a + b; }` in code session js-2	215	b3e2ae210eae290c	215	df467e11571b87f5	766.4
code_session_exec|run `let x = 42` in code session js-1	297	90866f1430dd4192	297	612671c5c66a7318	765.7
code_session_list|are there any code sessions still open?	142	a402a1da5e53b239	142	ed46c69265bd6a8f	764.1
code_session_list|enumerate my open JavaScript sessions	292	224dff67b199202a	292	736128bfdeb2521d	767.5
code_session_list|give me a rundown of every running code sandbox	131	3200b6e7bfff6b54	131	a5d9d1a35bd319ce	767.7
code_session_list|how many code sessions do I have open	281	2d260bf1de636de8	281	fcba3079a285e451	768.6
code_session_list|list my open code sessions	228	f63367d3fa2b644d	228	7890450505a1c873	768.5
code_session_list|show the active code sandboxes	134	eec2d18cbdb63093	134	06b2d3ff8ba2e57b	767.1
code_session_list|what code session ids are currently alive?	185	831c003d2a76dc8c	185	139d219accfe70a1	767.2
code_session_list|which code execution sessions are running	248	ab2007bd173d056e	248	369f0be883c45fdd	768.2
code_session_open|create a JavaScript sandbox session I can keep reusing	157	e8d93c6331b3bac2	157	fdb17b96b18dc61b	764.6
code_session_open|give me a persistent JS REPL so I can build up state across steps	309	e1c87f6879b1b21e	309	4c8ca767165ca294	765.5
code_session_open|open a JS session so variables are kept between calls	209	65c694537246e43a	209	0d9e400c647546b6	764.3
code_session_open|open a code session for javascript	114	3b17141ba14fc329	114	c9b8911fa73a8de3	768.5
code_session_open|open a long-lived js session	140	5ca8cdeea9e3f937	140	5b63ec1c1b1c09c1	766.7
code_session_open|spin up a stateful JavaScript code session	146	7400eb1e18c9f582	146	8d8f593f284f2508	767.0
code_session_open|start a code session (javascript) that remembers my definitions	205	481902b08d716210	205	e4f9f4ea8b1cf6df	767.7
code_session_open|start a persistent JavaScript session	123	eec5ecc486e20047	123	46b4984b1837113b	769.8
cred_list|before I connect, remind me what login credentials are on file	165	6bed5e1a670d8151	165	1cd1fd796109ff1b	766.4
cred_list|do I already have a credential saved for the staging database?	537	54b32efe703aa242	537	7a8130428a4a95e0	767.3
cred_list|enumerate the credential entries I've set up so far	117	b5b8c03101cc796a	117	d99af0f7eac2bc3e	764.1
cred_list|give me a rundown of every secret name in the credential store	161	224bbfbd14f62bb8	161	e2122b1a94473431	767.0
cred_list|list all my saved credentials	226	92923dc2ef66a8d2	226	b0e9b20525c04c46	767.8
cred_list|show me the names of my saved API keys	249	dc8839e72711119a	249	230763dc22f79d22	766.3
cred_list|what credentials do I have stored	283	6cb6968ae32c4d04	283	bf8e399db06e41c9	769.5
cred_list|which credentials are available for this session	208	39bf0a653f668d66	208	e463e1a2b34de584	768.5
credential_delete|can you wipe the stored value for jenkins-token?	218	79ee5ab491fd04df	218	7e87d7d8aa3ee137	767.0
credential_delete|delete the saved credential named old-api-key	136	f6cb5a603e134ae9	136	7507013052a03a7e	769.1
credential_delete|drop the credential named legacy-smtp-password, we don't use it anymore	152	a88a0e94fed43a8d	152	8a73b173bdffae28	770.4
credential_delete|forget the credential called expired-token	128	e291e649931a1c0e	128	2da2c315b6110ff4	767.5
credential_delete|get rid of the saved secret called demo-webhook-secret	139	68309b6d16b8f8c9	139	3aa684688aab93b2	764.1
credential_delete|purge the credential entry named test-account-key from the store	120	a63a098f39ff42ce	120	6fb47925d16457a7	764.1
credential_delete|remove the database password credential named dev-db-password	136	44cc6c5d30eeac5d	136	913292bb76d9f7b9	766.3
credential_delete|revoke the SSH key credential named staging-ssh-key	132	ef205fe20063312d	132	ea886b7f76551116	766.6
credential_save|I want to store the SMTP app password mailgun-smtp — it's key-3ax6xnjp29jd6fds4gc373sgvjxteol0	615	37fca9328d492168	615	e84a44c3f1b0f8d5	764.5
credential_save|add a new credential called cloudflare-token set to v1.0-9zQwErTyUiOpAsDfGhJkL	424	dc17cd93da41d278	424	7a5d89a23ce53faf	765.1
credential_save|can you stash my AWS secret access key as aws-prod, the value is wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY	619	e77a23da051f8c17	619	6f7a2d2ce9a92f1f	763.7
credential_save|keep the vault-unseal-key credential around with value hvs-EXAMPLE-not-a-real-token	971	fad94304c6d1f83d	971	a2983381acadef99	762.9
credential_save|remember the credential named stripe-secret with value sk_live_51HxYzAbCdEfG	367	bac5cdf241ddba64	367	198042eb0b5b0541	766.0
credential_save|save the credential named github-pat with value ghp_aB3dE5fG7hJ9kL1mN3pQ5rS7tU9vW1xY3z	554	6b5cd55291596cf1	554	7a153d687b712c8d	763.0
credential_save|save the password for the analytics DB under the name analytics-db, value Hunter2!swordfish	385	1aded689835a4395	385	1e47e211714af367	763.9
credential_save|store an API token under the name openai-key with value sk-proj-abc123def456	309	5a5e37adde64d915	309	36e0cbcb2c2a44e5	765.5
datetime|give me the current UTC date and time	212	d8331d66e3a3a379	212	9384c2831149622b	762.0
datetime|if it's 3pm here in Berlin, what time is it in Sydney	544	837c4b19bd5a85b4	544	1fc33acf4a4ae46f	762.0
datetime|tell me the current Unix timestamp	219	fcd3d4f38936a9d1	219	54807a722aca4c87	766.1
datetime|what day of the week is it today	468	313fd4b35a938dcb	468	995e459218fc9cc0	765.4
datetime|what time is it in Tokyo right now	156	f33e7281cdd90813	156	6e7e76531ee48626	765.0
datetime|what's the current local time in Asia/Dubai	152	87c18da237b0eca7	152	68f0f09569c88cb3	763.6
datetime|what's the current time in America/New_York	120	1e9f5f4cf3a3da94	120	366c6c58e5c916e5	762.6
datetime|what's today's date	172	426b55ea19205a26	172	bd501f34f2f34063	762.7
dns_lookup|do a reverse DNS lookup on 8.8.4.4	347	1de97b0925371e7f	347	847d800371b73507	763.4
dns_lookup|look up the A records for example.com	130	4560d3b055f0f433	130	3de89fb67eaa7f4a	762.1
dns_lookup|look up the IP address of cloudflare.com	144	b27044bc44b942b6	144	aa4fecc2d10de80c	762.2
dns_lookup|resolve the DNS for github.com	132	49f2dfbdc0d62060	132	7a1634f1a813b81f	762.6
dns_lookup|resolve the IPv4 address for api.stripe.com	139	bbe22cc9735d42aa	139	2c724a103be1681d	764.7
dns_lookup|reverse-resolve the IP 208.67.222.222 to a hostname	206	7f351ee0bb89c084	206	9d77e24f0698b699	764.4
dns_lookup|what does the AAAA record for ipv6.google.com resolve to?	169	3541cbb8cad7ceee	169	c84305cb0d9ea40b	766.0
dns_lookup|what's the IP address of rust-lang.org	149	9d24507fa2111cd2	149	f4ee0b4b9d4f8cb6	766.6
file_delete|I don't need /workspace/old/legacy.py anymore, delete it	120	69a99ec3b083c551	120	bf7b1d9913b04de8	767.7
file_delete|can you clean up /workspace/target/debug/incremental.tmp	196	dc1a557f2af88744	196	b3cc6cd6d5d5f851	763.2
file_delete|delete /workspace/build/output.log	163	c901181e6ce3d035	163	ec1562c7c7a09d6a	765.1
file_delete|delete the file /workspace/tmp/scratch.txt	160	6d6f92544151415c	160	dab06c6df9f22c4f	765.8
file_delete|get rid of the file /workspace/notes/draft.md	184	dec93e79e0d77563	184	5701c05b9645576a	765.3
file_delete|remove /workspace/config.bak	137	919740eb0d8142f6	137	d64c6d725ebf8321	767.2
file_delete|trash the file at /workspace/downloads/duplicate(1).zip	142	27ebc9ca27689d8a	142	e7ceba6a1229fafc	766.2
file_delete|wipe /workspace/cache/session.dat	147	621af47b9b45a324	147	1c0381aa84b9a4ed	764.6
file_edit|change the log level from "info" to "debug" in /workspace/logging.yaml	288	cb59eaf183b6eb7b	288	1355c5615dfcb346	764.0
file_edit|fix the typo `recieve` to `receive` in /workspace/src/handlers/mod.rs	195	d19f2a8b77ae3241	195	588517f72483b1cc	767.6
file_edit|in /workspace/.env swap DEBUG=true for DEBUG=false	169	0a5ef08f4f6830f2	169	698ff907fcf0a67f	766.6
file_edit|in /workspace/Cargo.toml change the line `version = "0.1.0"` to `version = "0.2.0"`	258	582184378c6cf14b	258	47890df822bbc0d1	763.3
file_edit|in /workspace/docker-compose.yml bump the image tag from :1.2 to :1.3	369	a3d2ccd5ee0484e9	369	5011dc4ac367759a	765.0
file_edit|in /workspace/src/config.rs replace the string `localhost` with `0.0.0.0`	249	f1885d2c17c00d83	249	7e8e1501529d36bc	765.7
file_edit|rename the function foo to bar in /workspace/src/utils.rs	243	29cf11139ebc0056	243	1146a8c9d2c21dcc	765.3
file_edit|update the port from 8080 to 9090 in /workspace/config.toml	267	dcd19722a88ddea0	267	d09c4b38baa7afd5	762.1
file_list|enumerate the contents of /workspace/scripts	138	d32b58cbaaa0fbfe	138	e0867dd997ec8f1d	767.9
file_list|give me a directory listing of /workspace/assets/images	145	144dd275b0284c48	145	5bac9a1304b88143	769.0
file_list|list the files in /workspace/src	171	723fd0989f4b4eab	171	ee4268f786a9337f	767.0
file_list|list the files under /workspace/benches	149	eb3ca90d498a4773	149	dff7df05ff021867	769.6
file_list|show me everything under /workspace/tests	117	8f9514e268423bc9	117	facd47498d36daa7	765.7
file_list|what files are in /workspace	317	1a43a21a66168f46	317	5d2740da9ae1942f	767.0
file_list|what's in the /workspace/migrations directory	206	80dbf8ee37edead5	206	d396297bced136d3	771.4
file_list|which files live under /workspace/config	165	0ee3d26a80a8fe68	165	5bffd768db210603	769.8
file_present|attach /workspace/reports/coverage.html to the chat so I can view it	584	416fad97436346e4	584	7d1c3c5eb1174cc0	765.4
file_present|can you bring up /workspace/src/lib.rs and /workspace/src/error.rs side by side	227	44279d0331d96635	227	c077500e74234c74	763.9
file_present|display /workspace/src/main.rs in the chat	180	5a70f65309c0c2ca	180	767b51d43306b2e3	765.1
file_present|pop /workspace/docs/api-reference.md into the conversation	259	f08061f195a49ed4	259	e12b5eba77b1a1bf	763.7
file_present|present the file /workspace/README.md to the user	616	1bbfca920b7c9735	616	306112a4d58a65dd	763.3
file_present|put /workspace/CHANGELOG.md in front of me	315	124c481adc368a7d	315	b61611c684208a2a	764.0
file_present|show me the file /workspace/Cargo.lock	176	87112d12b9a50fb9	176	00d5d83663d816bd	766.2
file_present|surface /workspace/config/prod.yaml and /workspace/.env for me to look at	274	db5c48e24166e29c	274	8b269f8310752543	765.0
file_read|I need to see what's inside /workspace/scripts/build.sh	150	a08fc43654019218	150	d81809ae69cdc290	765.3
file_read|cat /workspace/docs/architecture.md for me	372	6ff43262d1e58381	372	44b8daa478df9a93	766.9
file_read|grab the text of /workspace/LICENSE and print it	192	36d73668907054da	192	11721f1227033f10	767.0
file_read|open /workspace/config/settings.yaml and show it	328	71b45afe53934dd0	328	77d61cc96f92a853	765.4
file_read|pull up the contents of /workspace/tests/fixtures/sample.json	189	9cbf8adda2b0a3d8	189	88c95f6501a41800	767.2
file_read|read the file /workspace/src/main.rs	114	ed5beb3a10a4900c	114	e408591736dc65ac	764.1
file_read|show me the contents of /workspace/Cargo.toml	169	51013c3e23486f2f	169	eab3bb36d6e5270d	760.6
file_read|what's in /workspace/.gitignore	178	b65ef2cf338c8e41	178	edd9b186e50e4d95	765.5
hash_compute|compute a SHA-1 checksum for the string 'v3.1.4-rc2'	282	7e6d2c1617a43da6	282	627baf8df424cae1	761.9
hash_compute|compute the MD5 hash of the string 'correct horse battery staple'	248	c2421d4746a99642	248	176ceb0e9bc8efaf	764.7
hash_compute|compute the SHA-1 digest of the string 'commit message v1'	257	b4116707a2ecf4c9	257	d4b2217560b68af2	763.7
hash_compute|compute the SHA-256 of the string hello world	355	5b3363c8f5136664	355	ce88e57553d74953	760.0
hash_compute|give me the SHA-256 digest of 'the quick brown fox jumps over the lazy dog'	226	13bf80d9d6aa7864	226	38a0bd2bebb7d69f	761.1
hash_compute|hash 'user:alice|role:admin' with SHA-512	222	828b1356fc3a2806	222	1a6a08cae92633fe	762.1
hash_compute|hash the string 'foo' with SHA-512	195	9f3bfa452a089cc6	195	6ffad1fe00d8cba8	760.7
hash_compute|what's the MD5 of 'release-2026.07'?	361	9ebbb0e56435b96b	361	696f20243f5d31d8	763.7
hash_scan|figure out which algorithm maps 'letmein' to 0d107d09f5bbe40cade3de5c71e9e9b7	400	5124012cf6d233f4	400	53f67f998c6b8c38	761.1
hash_scan|identify the algorithm that hashes 'admin' to 21232f297a57a5a743894a0e4a801fc3	493	78f67a33c999f527	493	62b50929609d8999	760.0
hash_scan|identify the hash that turns 'root' into 4813494d137e1631bba301d5acab6e7bb7aa74ce1185d456565ef51d737677b2	620	e87d23f537d5d9c7	620	fc150fe9f4b8cec0	762.4
hash_scan|the string 'test' hashes to a94a8fe5ccb19ba61c4c0873d391e987982fbbd3 — what algorithm is that?	888	1a8681811153132e	888	9f6ad8fba54462d8	757.8
hash_scan|what algorithm hashes the string 'password' to 5f4dcc3b5aa765d61d8327deb882cf99	590	f5ae901c7f762736	590	8c2daf7a1f152a84	761.8
hash_scan|what hash produces e10adc3949ba59abbe56e057f20f883e from the input '123456'	678	27d1835e59116e7e	678	bc7d34d53e05e721	760.5
hash_scan|which digest function produces 098f6bcd4621d373cade4e832627b4f6 from 'test'	426	56136b2c92888b84	426	deaf18eb7832dbc1	761.9
hash_scan|which hash function turns 'hello' into 5d41402abc4b2a76b9719d911017c592	757	1230ad2a80fb8f9a	757	6fb5b6840e19817d	758.8
hash_state_finalize|I'm done streaming — finalize hash state hs-2	227	962194a9b4b7adcb	227	4c3658decc08dc9b	760.7
hash_state_finalize|close out hash state hs-4 and return the hash	165	cc385ca932c4c522	165	494a5efd03d77c7c	765.7
hash_state_finalize|conclude hash state hs-2 and emit the result	186	a28a7f3c313b91da	186	fc414b76d86fe78d	761.2
hash_state_finalize|finalize hash state hs-1 and give me the digest	237	c999a3ff0779cdd8	237	afc0f6d98e5f0409	764.3
hash_state_finalize|finish hash state hs-1	160	904071990ef9b2e3	160	f1a773a72734ba41	759.9
hash_state_finalize|give me the final digest of hash state hs-3	192	a96fc36ed3926893	192	a167172214152357	763.7
hash_state_finalize|seal hash state hs-6 and hand me the checksum	151	90097ce3d32d1483	151	49677802c85bc1a7	764.2
hash_state_finalize|wrap up hash state hs-5 and show me the hex digest	177	c5f23463a34b4444	177	ab9dab1eb51cbfc8	759.3
hash_state_init|I want to hash a big file piece by piece with SHA-512 — set up the state	200	e61e4746cf958994	200	a7e7bb42b4a6d58e	766.8
hash_state_init|begin an incremental SHA-512 computation	146	014e8b53446801dc	146	0a675dc824ca7514	768.6
hash_state_init|create a new incremental SHA-1 hashing session	177	aa2b4d1ee6d4b1a7	177	c2c6e1c61a6fbe28	766.5
hash_state_init|initialize an incremental SHA-256 hash for feeding data in chunks	169	c2006d4f3e44f2e2	169	e60dba37a9f98604	767.8
hash_state_init|open a new streaming hash with SHA-1	216	96ba44658dde7bec	216	1f251b5b2194b5ab	765.2
hash_state_init|open a streaming SHA-256 context so I can push data as it arrives	245	5ae0b6eefd1f475e	245	53e752c97f0c165e	764.3
hash_state_init|spin up a fresh streaming MD5 hash	396	22a375e60ea032ef	396	32fc44f4cb54072b	766.4
hash_state_init|start a streaming SHA-256 hash	123	396a3b8b3da4ec83	123	019c32381907df72	763.4
hash_state_update|absorb the bytes deadbeef into hash state hs-2	185	a49c58653920680a	185	969bd3b44e037c89	762.2
hash_state_update|add the chunk 'final part' to hash state hs-1	200	34d33ed35b29b3e9	200	0f38b0407686282d	762.3
hash_state_update|append the string 'row 2048 of the export' to hash state hs-3	305	d6158e06fba507d5	305	70421fbfe7a0c194	762.7
hash_state_update|feed the hex 48656c6c6f into hash state hs-1	344	aad0cf10d463b662	344	3c0c07153b6f1a62	763.4
